AgentID,Episode,Conversation_Length,Conversation_With_Like,People_Around_To_Talk,Action
0,4,1,0,1,4
0,4,2,0,1,2
0,4,0,0,1,3
0,4,1,0,1,4
0,4,2,0,1,2
0,4,0,0,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,4,5,1,1,1
0,4,0,1,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,4,5,1,1,1
0,4,0,1,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,4,5,1,1,1
0,4,0,1,1,3
0,4,1,0,1,4
0,4,2,0,1,2
0,4,0,0,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,4,5,1,1,1
0,4,0,1,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,4,5,1,1,1
0,4,0,1,1,3
0,4,1,1,1,4
0,4,2,1,1,4
0,4,3,1,1,4
0,4,4,1,1,4
0,5,0,0,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,0,1,4
0,5,2,0,1,2
0,5,0,0,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,0,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,0,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,0,1
0,5,0,1,0,1
0,5,0,1,0,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,0,1,4
0,5,2,0,1,2
0,5,0,0,0,2
0,5,0,0,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,5,1,0,1,4
0,5,2,0,1,2
0,5,0,0,1,3
0,5,1,1,1,4
0,5,2,1,1,4
0,5,3,1,1,4
0,5,4,1,1,4
0,5,5,1,1,1
0,5,0,1,1,3
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,0,2
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,0,1
0,6,0,1,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,0,1,4
0,6,2,0,1,2
0,6,0,0,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,6,5,1,1,1
0,6,0,1,1,3
0,6,1,1,1,4
0,6,2,1,1,4
0,6,3,1,1,4
0,6,4,1,1,4
0,7,0,0,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,0,1,4
0,7,2,0,1,2
0,7,0,0,1,3
0,7,1,0,1,4
0,7,2,0,1,2
0,7,0,0,1,3
0,7,1,0,1,4
0,7,2,0,1,2
0,7,0,0,1,3
0,7,1,0,1,4
0,7,2,0,1,2
0,7,0,0,0,2
0,7,0,0,0,2
0,7,0,0,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,0,1,4
0,7,2,0,1,2
0,7,0,0,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,0,1
0,7,0,1,0,1
0,7,0,1,0,1
0,7,0,1,0,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
